tail_num,mfr_name,model,year,cert_year,eng_mfr_name,eng_model,aircraft_type,carrier
N3754A,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N923DL,MCDONNELL DOUGLAS,MD-88,1988.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N551NW,BOEING,757-251,2001.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N334NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N675DL,BOEING,757-232,1992.0,2018.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N309US,AIRBUS,A320-211,1990.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N940DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N920DL,MCDONNELL DOUGLAS,MD-88,1988.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N357NW,AIRBUS,A320-212,1998.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N199DN,BOEING,767-332ER,1998.0,1998.0,P & W,PW4060,Fixed Wing Multi-Engine,DL
N943AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N3733Z,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N925AT,BOEING,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N973DL,MCDONNELL DOUGLAS,MD-88,1991.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N907DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N905DA,MCDONNELL DOUGLAS,MD-90-30,1995.0,1995.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N927DN,BOEING,MD-90-30,1999.0,2010.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
