tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N3754A,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N923DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL
N551NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL
N334NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N675DL,BOEING,757-232,757-200,1992.0,2018.0,P & W,PW2037,DL
N309US,AIRBUS,A320-211,A320,1990.0,2009.0,CFM INTL,CFM56-5A,DL
N940DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N920DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2018.0,P & W,JT8D-219,DL
N357NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N199DN,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL
N943AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N3733Z,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N925AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N973DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL
N907DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N905DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL
N927DN,BOEING,MD-90-30,MD-90-30,1999.0,2010.0,IAE,V2528-D5,DL
N302NB,AIRBUS,A319-114,A319,1999.0,1999.0,CFM INTL,CFM56-5A,DL
N966DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL
N341NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N970AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N328NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL
N608AT,BOEING,717-200,717-200,2000.0,2009.0,ROLLS-ROYC,BR700-715,DL
N913DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL
N378NW,AIRBUS,A320-211,A320,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N703TW,BOEING,757-2Q8,757-200,1996.0,2013.0,P & W,PW2037,DL
N927DA,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N752AT,BOEING,757-212,757-200,1984.0,1996.0,P & W,PW2037,DL
N915DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL
N955DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL
N842DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N538US,BOEING,757-251,757-200,1996.0,2007.0,P & W,PW2037,DL
N352NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N681DA,BOEING,757-232,757-200,1993.0,2017.0,P & W,PW2037,DL
N6716C,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL
N965DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2007.0,P & W,JT8D-219,DL
N976DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2016.0,P & W,JT8D-219,DL
N951DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2013.0,IAE,V2528-D5,DL
N683DA,BOEING,757-232,757-200,1993.0,2018.0,P & W,PW2037,DL
N546US,BOEING,757-251,757-200,1996.0,2009.0,P & W,PW2037,DL
N370NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N347NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL
N910DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL
N971AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N981DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2010.0,P & W,JT8D-219,DL
N603AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N362NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N959AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N338NW,AIRBUS,A320-212,A320,1992.0,2014.0,CFM INTL,CFM56-5A,DL
N343NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N584NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL
N924AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N3739P,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N3757D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N377DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N358NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N67171,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL
N916DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL
N982AT,BOEING,717-200,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,DL
N909DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
