tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N3754A,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N923DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL,149.0
N551NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL,199.0
N334NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N675DL,BOEING,757-232,757-200,1992.0,2018.0,P & W,PW2037,DL,180.0
N309US,AIRBUS,A320-211,A320,1990.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N940DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N920DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2018.0,P & W,JT8D-219,DL,149.0
N357NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N199DN,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL,226.0
N943AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N3733Z,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N925AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N973DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL,149.0
N907DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N905DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL,158.0
N927DN,BOEING,MD-90-30,MD-90-30,1999.0,2010.0,IAE,V2528-D5,DL,158.0
N302NB,AIRBUS,A319-114,A319,1999.0,1999.0,CFM INTL,CFM56-5A,DL,132.0
N966DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL,149.0
N341NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N970AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N328NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL,150.0
N608AT,BOEING,717-200,717-200,2000.0,2009.0,ROLLS-ROYC,BR700-715,DL,110.0
N913DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL,149.0
N378NW,AIRBUS,A320-211,A320,2003.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N703TW,BOEING,757-2Q8,757-200,1996.0,2013.0,P & W,PW2037,DL,168.0
N927DA,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N752AT,BOEING,757-212,757-200,1984.0,1996.0,P & W,PW2037,DL,175.0
N915DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL,149.0
N955DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL,158.0
N842DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N538US,BOEING,757-251,757-200,1996.0,2007.0,P & W,PW2037,DL,199.0
N352NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N681DA,BOEING,757-232,757-200,1993.0,2017.0,P & W,PW2037,DL,180.0
N6716C,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL,199.0
N965DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2007.0,P & W,JT8D-219,DL,149.0
N976DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2016.0,P & W,JT8D-219,DL,149.0
N951DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2013.0,IAE,V2528-D5,DL,158.0
N683DA,BOEING,757-232,757-200,1993.0,2018.0,P & W,PW2037,DL,180.0
N546US,BOEING,757-251,757-200,1996.0,2009.0,P & W,PW2037,DL,199.0
N370NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
